*******************************************************************************
 Revised: September 28, 2017           Jupiter                              599
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 1898.13+-.19    Density (g/cm^3)       =   1.326
  Equat. radius (1 bar) = 71492+-4 km     Polar radius (km)      =  66854+-10
  Vol. Mean Radius (km) = 69911+-6        Flattening             =   0.06487
  Geometric Albedo      = 0.52            Rocky core mass (Mc/M) =  0.0261
  Sid. rot. period (III)= 9h 55m 29.71 s  Sid. rot. rate (rad/s) =  0.00017585 
  Mean solar day, hrs   = ~9.9259         
  GM (km^3/s^2)         = 126686534.911   GM 1-sigma (km^3/s^2)  =  +-1.5
  Equ. grav, ge (m/s^2) = 24.79           Pol. grav, gp (m/s^2)  =  28.34
  Vis. magnitude V(1,0) = -9.40
  Vis. mag. (opposition)= -2.70           Obliquity to orbit     =  3.13 deg
  Sidereal orbit period = 11.861982204 y  Sidereal orbit period  = 4332.589 d
  Mean daily motion     = 0.0831294 deg/d Mean orbit speed, km/s = 13.0697
  Atmos. temp. (1 bar)  = 165+-5 K        Escape speed, km/s    =  59.5           
  A_roche(ice)/Rp       =  2.76           Hill's sphere rad. Rp  = 740
                                 Perihelion   Aphelion     Mean
  Solar Constant (W/m^2)         56           46           51
  Maximum Planetary IR (W/m^2)   13.7         13.4         13.6
  Minimum Planetary IR (W/m^2)   13.7         13.4         13.6
*******************************************************************************
 

 

*******************************************************************************
Ephemeris / WWW_USER Sat Mar  9 19:55:48 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup341}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1970-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2440587.500000000, A.D. 1970-Jan-01 00:00:00.0000, -7.490058923208621E+08, -3.006999108147271E+08, -1.106387634889134E+08,  4.979372429276186E+00, -1.044151744110439E+01, -4.597395922128201E+00,
2440952.500000000, A.D. 1971-Jan-01 00:00:00.0000, -5.083532346450352E+08, -5.804837796580862E+08, -2.364417105381103E+08,  9.991144376669931E+00, -6.919599675823524E+00, -3.209839328883588E+00,
2441317.500000000, A.D. 1972-Jan-01 00:00:00.0000, -1.431474775771258E+08, -7.170221569524312E+08, -3.038748674435003E+08,  1.269639205223088E+01, -1.501896458206011E+00, -9.533352525765167E-01,
2441683.500000000, A.D. 1973-Jan-01 00:00:00.0000,  2.591925600251326E+08, -6.665439833859499E+08, -2.920438527775826E+08,  1.215461639255961E+01,  4.696400837195642E+00,  1.716948366898863E+00,
2442048.500000000, A.D. 1974-Jan-01 00:00:00.0000,  5.867528818116907E+08, -4.303312239178954E+08, -1.987704614703018E+08,  8.056777387095549E+00,  9.975091305514095E+00,  4.079734740808870E+00,
2442413.500000000, A.D. 1975-Jan-01 00:00:00.0000,  7.381942221408141E+08, -6.645609118899890E+07, -4.647887759246448E+07,  1.244323942033810E+00,  1.251281860544028E+01,  5.333625364299296E+00,
2442778.500000000, A.D. 1976-Jan-01 00:00:00.0000,  6.590219298284091E+08,  3.176120349533317E+08,  1.200895512271378E+08, -6.134373009829616E+00,  1.118282623733636E+01,  4.943212947109720E+00,
2443144.500000000, A.D. 1977-Jan-01 00:00:00.0000,  3.718762396467442E+08,  6.028295883061134E+08,  2.493519044551219E+08, -1.150613932028402E+01,  6.403418164367516E+00,  3.025345454174079E+00,
2443509.500000000, A.D. 1978-Jan-01 00:00:00.0000, -2.822419889471048E+07,  7.051419031376271E+08,  3.029601761006197E+08, -1.320997890571272E+01, -5.395254440226979E-03,  3.195584495925425E-01,
2443874.500000000, A.D. 1979-Jan-01 00:00:00.0000, -4.216583840536613E+08,  6.072996169398321E+08,  2.706047299671489E+08, -1.118216396048178E+01, -5.977633544176721E+00, -2.289888429186955E+00,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -7.046973926030188E+08,  3.484620128917647E+08,  1.665446870586301E+08, -6.425111029578058E+00, -1.003309887939910E+01, -4.144285665318863E+00,
