*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
 *******************************************************************************
 

 

*******************************************************************************
Ephemeris / WWW_USER Sat Mar  9 19:44:29 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1970-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2440587.500000000, A.D. 1970-Jan-01 00:00:00.0000, -2.674751557311480E+07,  1.328574964795551E+08,  5.758434195342191E+07, -2.951864258933297E+01, -5.952260906709061E+00, -2.663592387625777E+00,
2440952.500000000, A.D. 1971-Jan-01 00:00:00.0000, -2.557330683221574E+07,  1.330743963714156E+08,  5.769942493917641E+07, -2.923371104821966E+01, -4.212706045180666E+00, -1.722942104510417E+00,
2441317.500000000, A.D. 1972-Jan-01 00:00:00.0000, -2.556810374545066E+07,  1.337876430027088E+08,  5.802695728820119E+07, -3.085077940340577E+01, -4.993696040803465E+00, -2.258039428999983E+00,
2441683.500000000, A.D. 1973-Jan-01 00:00:00.0000, -2.790982598486769E+07,  1.327659878666627E+08,  5.754634803364040E+07, -2.892266295316217E+01, -5.686441770215623E+00, -2.399439339029561E+00,
2442048.500000000, A.D. 1974-Jan-01 00:00:00.0000, -2.689486298164205E+07,  1.329729133154529E+08,  5.770904035307311E+07, -2.986307950088709E+01, -4.207746204655222E+00, -1.835430733145188E+00,
2442413.500000000, A.D. 1975-Jan-01 00:00:00.0000, -2.695244097098867E+07,  1.329958181989071E+08,  5.764786226291911E+07, -3.049842954473590E+01, -5.718210294568266E+00, -2.518693684295649E+00,
2442778.500000000, A.D. 1976-Jan-01 00:00:00.0000, -2.586718618687623E+07,  1.322002618447210E+08,  5.735536874877418E+07, -2.878691463388328E+01, -4.892313151656646E+00, -2.044152620069956E+00,
2443144.500000000, A.D. 1977-Jan-01 00:00:00.0000, -2.720689096869328E+07,  1.323027933399579E+08,  5.735351271777382E+07, -3.047856063623351E+01, -4.639160038909666E+00, -2.098972292535911E+00,
2443509.500000000, A.D. 1978-Jan-01 00:00:00.0000, -2.675752215617099E+07,  1.321545914131261E+08,  5.727744682716995E+07, -2.983392444561609E+01, -6.029874642707591E+00, -2.523481370245747E+00,
2443874.500000000, A.D. 1979-Jan-01 00:00:00.0000, -2.507453955359492E+07,  1.321340057969004E+08,  5.728856655183863E+07, -2.895701629267236E+01, -4.304532990790659E+00, -1.945623295284133E+00,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -2.432005422453865E+07,  1.331866233115919E+08,  5.767885283555818E+07, -3.081582147300151E+01, -4.704983637592987E+00, -2.006223124547800E+00,
