*******************************************************************************
 Revised: June 21, 2016                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Semi-major axis       =  3396.2 
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150        Equatorial radius, Re = 3394.0 km                                       
  GM (km^3/s^2)         = 42828.375214    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************
 

 

*******************************************************************************
Ephemeris / WWW_USER Sat Mar  9 19:54:36 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: mar097}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1970-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2440587.500000000, A.D. 1970-Jan-01 00:00:00.0000,  1.990267404151246E+08,  6.968635166227251E+07,  2.656802726936917E+07, -7.560777278212286E+00,  2.244609880139228E+01,  1.049974179332368E+01,
2440952.500000000, A.D. 1971-Jan-01 00:00:00.0000, -2.316353161508347E+08, -6.712874257806362E+07, -2.451644887743656E+07,  8.070912066828793E+00, -1.907977450607550E+01, -8.970017306125580E+00,
2441317.500000000, A.D. 1972-Jan-01 00:00:00.0000,  1.531016425626223E+08,  1.444564148452938E+08,  6.209526408905359E+07, -1.641864311197831E+01,  1.710370728846920E+01,  8.289579059181429E+00,
2441683.500000000, A.D. 1973-Jan-01 00:00:00.0000, -1.864853022549409E+08, -1.334075252652467E+08, -5.614595171836988E+07,  1.580341191192713E+01, -1.534002605100890E+01, -7.463976950718322E+00,
2442048.500000000, A.D. 1974-Jan-01 00:00:00.0000,  7.865657798514572E+07,  1.948683462911891E+08,  8.723976567058879E+07, -2.179879015320633E+01,  9.301318799987365E+00,  4.856960910933935E+00,
2442413.500000000, A.D. 1975-Jan-01 00:00:00.0000, -1.161974438241903E+08, -1.800885368004281E+08, -7.945066283084883E+07,  2.180177970938990E+01, -9.082180753058676E+00, -4.756049606515965E+00,
2442778.500000000, A.D. 1976-Jan-01 00:00:00.0000, -6.169132807573119E+06,  2.135118506377052E+08,  9.810479558638775E+07, -2.328879587480462E+01,  1.078188962513844E+00,  1.125694089612800E+00,
2443144.500000000, A.D. 1977-Jan-01 00:00:00.0000, -2.551856055229635E+07, -1.992651071249210E+08, -9.068939971692610E+07,  2.499900794804840E+01, -4.366461078903471E-01, -8.774349114101988E-01,
2443509.500000000, A.D. 1978-Jan-01 00:00:00.0000, -9.153331269287418E+07,  2.022321054240104E+08,  9.524769678825758E+07, -2.147605686724098E+01, -6.707606159488836E+00, -2.494907267345266E+00,
2443874.500000000, A.D. 1979-Jan-01 00:00:00.0000,  6.758560959603409E+07, -1.831668348008085E+08, -8.583393176748495E+07,  2.394043489995488E+01,  9.047123573957901E+00,  3.500913422849051E+00,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -1.633636153348626E+08,  1.656401641773352E+08,  8.039271120993459E+07, -1.713583437713645E+01, -1.296428970478715E+01, -5.482568002692766E+00,
