*******************************************************************************
 Revised: July 31, 2013              Mercury                            199 / 1

 PHYSICAL DATA (updated 2018-Aug-15):
  Vol. Mean Radius (km) =  2440+-1        Density (g cm^-3)     = 5.427
  Mass x10^23 (kg)      =     3.302       Volume (x10^10 km^3)  = 6.085  
  Sidereal rot. period  =    58.6463 d    Sid. rot. rate (rad/s)= 0.00000124001
  Mean solar day        =   175.9421 d    Core radius (km)      = ~1600 
  Geometric Albedo      =     0.106       Surface emissivity    = 0.77+-0.06
  GM (km^3/s^2)         = 22031.78        Equatorial radius, Re = 2440 km
  GM 1-sigma (km^3/s^2) =   +-0.91        Mass ratio (Sun/plnt) = 6023682
  Mom. of Inertia       =     0.33        Equ. gravity  m/s^2   = 3.701     
  Atmos. pressure (bar) = < 5x10^-15      Max. angular diam.    = 11.0"   
  Mean Temperature (K)  = 440             Visual mag. V(1,0)    = -0.42 
  Obliquity to orbit[1] =  2.11' +/- 0.1' Hill's sphere rad. Rp = 94.4 
  Sidereal orb. per.    =  0.2408467 y    Mean Orbit vel.  km/s = 47.362 
  Sidereal orb. per.    = 87.969257  d    Escape vel. km/s      =  4.435
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         14462       6278        9126
  Maximum Planetary IR (W/m^2)   12700       5500        8000
  Minimum Planetary IR (W/m^2)   6           6           6
*******************************************************************************
 

 

*******************************************************************************
Ephemeris / WWW_USER Sat Mar  9 19:43:43 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Mercury (199)                   {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1970-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2440587.500000000, A.D. 1970-Jan-01 00:00:00.0000,  3.901558897485410E+07,  2.711973224882318E+07,  1.046635513713748E+07, -3.879081706909912E+01,  3.495854731018972E+01,  2.269712396387349E+01,
2440952.500000000, A.D. 1971-Jan-01 00:00:00.0000, -2.159012457963573E+07,  3.703258333057266E+07,  2.201412889862267E+07, -5.297634643427717E+01, -2.025093776309869E+01, -5.318648467870760E+00,
2441317.500000000, A.D. 1972-Jan-01 00:00:00.0000, -5.792166471643096E+07, -3.025879409235869E+06,  4.355514822768315E+06, -8.736539741039994E+00, -4.154862281988338E+01, -2.128572495198099E+01,
2441683.500000000, A.D. 1973-Jan-01 00:00:00.0000, -4.477737282858739E+07, -4.609418005604493E+07, -2.003162594021707E+07,  2.669853119233172E+01, -2.548692506479394E+01, -1.638427346599297E+01,
2442048.500000000, A.D. 1974-Jan-01 00:00:00.0000, -6.086199336279932E+06, -6.116124283294372E+07, -3.209209889158089E+07,  3.877397803213869E+01,  5.908426590395786E-02, -3.992179247464890E+00,
2442413.500000000, A.D. 1975-Jan-01 00:00:00.0000,  3.536110424689192E+07, -4.581983174078619E+07, -2.817294126837164E+07,  3.071532186438943E+01,  2.728033904673398E+01,  1.138436469277434E+01,
2442778.500000000, A.D. 1976-Jan-01 00:00:00.0000,  5.337943324241053E+07, -3.274751402314655E+06, -7.274942603484776E+06, -4.417077528325042E+00,  4.465372282390196E+01,  2.431045000243279E+01,
2443144.500000000, A.D. 1977-Jan-01 00:00:00.0000,  1.364012593169760E+07,  3.880179145769005E+07,  1.937041334789355E+07, -5.628415610902258E+01,  1.231086060194143E+01,  1.241807542982552E+01,
2443509.500000000, A.D. 1978-Jan-01 00:00:00.0000, -4.417879815993706E+07,  2.096693739913669E+07,  1.587943438274654E+07, -3.461258770243445E+01, -3.663437056298014E+01, -1.597451099238300E+01,
2443874.500000000, A.D. 1979-Jan-01 00:00:00.0000, -5.695514699315447E+07, -2.434785739441495E+07, -6.986658273499275E+06,  9.043877092826161E+00, -3.744341032747725E+01, -2.093797669477996E+01,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -3.066986852548409E+07, -5.560779654909559E+07, -2.642578424375669E+07,  3.343991094856833E+01, -1.651859354066161E+01, -1.229393745962451E+01,
