*******************************************************************************
 Revised: October 11, 2016             Saturn                               699
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^26 (kg)      = 5.6834          Density (g/cm^3)       =  0.687+-.001
  Equat. radius (1 bar) = 60268+-4 km     Polar radius (km)      = 54364+-10
  Vol. Mean Radius (km) = 58232+-6        Flattening             =  0.09796
  Geometric Albedo      = 0.47            Rocky core mass (Mc/M) =  0.1027
  Sid. rot. period (III)= 10h 39m 22.4s   Sid. rot. rate (rad/s) =  0.000163785 
  Mean solar day, hrs   =~10.656         
  GM (km^3/s^2)         = 37931207.8      GM 1-sigma (km^3/s^2)  = +- 98
  Equ. grav, ge (m/s^2) = 10.44           Pol. grav, gp (m/s^2)  = 12.14+-0.01
  Vis. magnitude V(1,0) = -8.88          
  Vis. mag. (opposition)= +0.67           Obliquity to orbit     = 26.73 deg
  Sidereal orbit period = 29.447498 yr    Sidereal orbit period  = 10755.698 d
  Mean daily motion     = 0.0334979 deg/d Mean orbit velocity    =  9.68 km/s
  Atmos. temp. (1 bar)  = 134+-4 K        Escape speed, km/s    =  35.5          
  Aroche(ice)/Rp        =  2.71           Hill's sphere rad. Rp  = 1100
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         16.8        13.6        15.1
  Maximum Planetary IR (W/m^2)    4.7         4.5         4.6
  Minimum Planetary IR (W/m^2)    4.7         4.5         4.6
*******************************************************************************
 

 

*******************************************************************************
Ephemeris / WWW_USER Sat Mar  9 19:56:25 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: sat409l_merged_DE437}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1970-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2440587.500000000, A.D. 1970-Jan-01 00:00:00.0000,  1.083450373007715E+09,  8.041553725580032E+08,  2.854885802785126E+08, -6.490272476744694E+00,  6.900141345404485E+00,  3.128337982200636E+00,
2440952.500000000, A.D. 1971-Jan-01 00:00:00.0000,  8.530379226283166E+08,  9.995570999928123E+08,  3.760784025941427E+08, -8.065284082339677E+00,  5.431256535825281E+00,  2.589881660322965E+00,
2441317.500000000, A.D. 1972-Jan-01 00:00:00.0000,  5.787363791118237E+08,  1.143431263390792E+09,  4.472784547379096E+08, -9.258538021035067E+00,  3.644738448020205E+00,  1.903638452691670E+00,
2441683.500000000, A.D. 1973-Jan-01 00:00:00.0000,  2.731813527754046E+08,  1.227303105017211E+09,  4.950460990633844E+08, -9.982796338343357E+00,  1.629171269235037E+00,  1.102463955554366E+00,
2442048.500000000, A.D. 1974-Jan-01 00:00:00.0000, -4.610980130515125E+07,  1.245465509910233E+09,  5.162713016574094E+08, -1.017772831163588E+01, -4.859580818187754E-01,  2.371730146402196E-01,
2442413.500000000, A.D. 1975-Jan-01 00:00:00.0000, -3.629394739183104E+08,  1.196952938893795E+09,  5.098588272693720E+08, -9.828110931656605E+00, -2.575712555476621E+00, -6.412131257202011E-01,
2442778.500000000, A.D. 1976-Jan-01 00:00:00.0000, -6.604457794088744E+08,  1.084610517688660E+09,  4.762584564733692E+08, -8.959594959456636E+00, -4.511880641130229E+00, -1.478391772218291E+00,
2443144.500000000, A.D. 1977-Jan-01 00:00:00.0000, -9.238717183150920E+08,  9.145985126988282E+08,  4.173795290485846E+08, -7.633551419654896E+00, -6.185546085436770E+00, -2.226600701161991E+00,
2443509.500000000, A.D. 1978-Jan-01 00:00:00.0000, -1.138877518896073E+09,  6.977454620405816E+08,  3.370774395153946E+08, -5.951233379384077E+00, -7.500115634491459E+00, -2.841769035546086E+00,
2443874.500000000, A.D. 1979-Jan-01 00:00:00.0000, -1.296649828766176E+09,  4.457910533868505E+08,  2.398212276419482E+08, -4.021544430007944E+00, -8.405688314993569E+00, -3.298429435871024E+00,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -1.391202333014392E+09,  1.720963479303496E+08,  1.308702599792613E+08, -1.959843361719841E+00, -8.878853515601977E+00, -3.582073959405673E+00,
