*******************************************************************************
 Revised: June 17, 2016                Uranus                               799
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Mass x10^24 (kg)      = 86.813          Density (g/cm^3)       =  1.271
  Equat. radius (1 bar) = 25559+-4 km     Polar radius (km)      = 24973+-20
  Vol. Mean Radius (km) = 25362+-12       Flattening             =  0.02293
  Geometric Albedo      = 0.51
  Sid. rot. period (III)= 17.24+-0.01 h   Sid. rot. rate (rad/s) = -0.000101237
  Mean solar day, h     =~17.24           Rocky core mass (Mc/M) =  0.0012        
  GM (km^3/s^2)         = 5793951.322     GM 1-sigma (km^3/s^2)  = +-4.3 
  Equ. grav, ge (m/s^2) =  8.87           Pol. grav, gp (m/s^2)  =   9.19+-0.02
  Visual magnitude V(1,0)= -7.11
  Vis. mag. (opposition)=  +5.52          Obliquity to orbit     = 97.77 deg
  Sidereal orbit period = 84.0120465 y    Sidereal orbit period  = 30685.4 d
  Mean daily motion     = 0.01176904 dg/d Mean orbit velocity    =  6.8 km/s
  Atmos. temp. (1 bar)  =  76+-2 K        Escape speed, km/s     =  21.3           
  Aroche(ice)/Rp        =  2.20           Hill's sphere rad., Rp = 2700
                                 Perihelion   Aphelion    Mean
  Solar Constant (W/m^2)         4.09         3.39        3.71
  Maximum Planetary IR (W/m^2)   0.72         0.55        0.63
  Minimum Planetary IR (W/m^2)   0.72         0.55        0.63
*******************************************************************************
 

 

*******************************************************************************
Ephemeris / WWW_USER Sat Mar  9 19:57:01 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: ura111}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1970-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2440587.500000000, A.D. 1970-Jan-01 00:00:00.0000, -2.723971684699241E+09, -2.789043281978038E+08, -8.355764471756446E+07,  6.680837052485776E-01, -6.490848295150540E+00, -2.852549946597680E+00,
2440952.500000000, A.D. 1971-Jan-01 00:00:00.0000, -2.694179854555376E+09, -4.824897684915028E+08, -1.731455519486330E+08,  1.219827850689147E+00, -6.413467839010148E+00, -2.826428824463087E+00,
2441317.500000000, A.D. 1972-Jan-01 00:00:00.0000, -2.647138271148492E+09, -6.829900467121649E+08, -2.616265353287899E+08,  1.761549628700325E+00, -6.295418723978648E+00, -2.782266948823986E+00,
2441683.500000000, A.D. 1973-Jan-01 00:00:00.0000, -2.583023728757317E+09, -8.796696453898143E+08, -3.486760058126888E+08,  2.290870068316398E+00, -6.137283772923693E+00, -2.720593222486479E+00,
2442048.500000000, A.D. 1974-Jan-01 00:00:00.0000, -2.502678013657671E+09, -1.070227437138763E+09, -4.332742108784483E+08,  2.801552885098348E+00, -5.941593613020144E+00, -2.642014206630299E+00,
2442413.500000000, A.D. 1975-Jan-01 00:00:00.0000, -2.406548912601180E+09, -1.254036707773728E+09, -5.151403462479973E+08,  3.291437755112752E+00, -5.709689540108081E+00, -2.547343098142359E+00,
2442778.500000000, A.D. 1976-Jan-01 00:00:00.0000, -2.295339537682767E+09, -1.429989073093942E+09, -5.937790004210145E+08,  3.757416864056626E+00, -5.443679069373212E+00, -2.437490816502011E+00,
2443144.500000000, A.D. 1977-Jan-01 00:00:00.0000, -2.169485852572360E+09, -1.597490985258836E+09, -6.689240350215513E+08,  4.197918772931247E+00, -5.145112295056890E+00, -2.312981306407431E+00,
2443509.500000000, A.D. 1978-Jan-01 00:00:00.0000, -2.030563147330719E+09, -1.754663854454974E+09, -7.397303418107406E+08,  4.607640061496459E+00, -4.818098563522368E+00, -2.175539198289397E+00,
2443874.500000000, A.D. 1979-Jan-01 00:00:00.0000, -1.879209474204843E+09, -1.901099196059290E+09, -8.060099740405414E+08,  4.985782728448731E+00, -4.464579063042593E+00, -2.026042378735342E+00,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -1.716454372272246E+09, -2.036004261546129E+09, -8.674011318825692E+08,  5.330424594256418E+00, -4.087347959454253E+00, -1.865629385240128E+00,
