*******************************************************************************
 Revised: July 31, 2013                 Venus                           299 / 2
 
 PHYSICAL DATA (updated 2018-Aug-15):
  Vol. Mean Radius (km) =  6051.84+-0.01 Density (g/cm^3)      =  5.204
  Mass x10^23 (kg)      =    48.685      Volume (x10^10 km^3)  = 92.843
  Sidereal rot. period  =   243.022498 d Sid. Rot. Rate (rad/s)= -0.00000029924
  Mean solar day        =   116.7490 d   Equ. gravity  m/s^2   =  8.870
  Mom. of Inertia       =     0.33       Core radius (km)      = ~3200
  Geometric Albedo      =     0.65       Potential Love # k2   = ~0.25
  GM (km^3/s^2)         = 324858.592     Equatorial Radius, Re = 6051.893 km
  GM 1-sigma (km^3/s^2) =    +-0.006     Mass ratio (Sun/Venus)= 408523.72
  Atmos. pressure (bar) =  90            Max. angular diam.    =   60.2"
  Mean Temperature (K)  = 735            Visual mag. V(1,0)    =   -4.40
  Obliquity to orbit    = 177.3 deg      Hill's sphere rad.,Rp =  167.1
  Sidereal orb. per., y =   0.61519726   Orbit speed, km/s     =   35.021
  Sidereal orb. per., d = 224.70079922   Escape speed, km/s    =   10.361
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         2759        2650        2614
  Maximum Planetary IR (W/m^2)    153         153         153
  Minimum Planetary IR (W/m^2)    153         153         153
*******************************************************************************
 

 

*******************************************************************************
Ephemeris / WWW_USER Sat Mar  9 19:42:20 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1970-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2440587.500000000, A.D. 1970-Jan-01 00:00:00.0000, -4.733027208737938E+06, -9.891541017374943E+07, -4.416451344455667E+07,  3.473833166185593E+01, -8.952890780187369E-01, -2.602337157425464E+00,
2440952.500000000, A.D. 1971-Jan-01 00:00:00.0000, -7.046596955386366E+07,  7.233976013974422E+07,  3.701412331535558E+07, -2.641666822703915E+01, -2.187888874281341E+01, -8.168815407919393E+00,
2441317.500000000, A.D. 1972-Jan-01 00:00:00.0000,  1.084244425294267E+08, -4.419557777748046E+06, -8.851571958165709E+06,  2.479948814097226E+00,  3.176308779766305E+01,  1.412932307334146E+01,
2441683.500000000, A.D. 1973-Jan-01 00:00:00.0000, -7.871033100908637E+07, -6.906567360499874E+07, -2.609289790829998E+07,  2.380458001154365E+01, -2.281877516833804E+01, -1.177113274111469E+01,
2442048.500000000, A.D. 1974-Jan-01 00:00:00.0000,  5.688399791901484E+06,  9.849830571153459E+07,  4.392683454541825E+07, -3.509058038662327E+01,  8.091819427246097E-01,  2.585493393445238E+00,
2442413.500000000, A.D. 1975-Jan-01 00:00:00.0000,  7.248953529290126E+07, -7.202375080037600E+07, -3.700003932860892E+07,  2.576804716883547E+01,  2.186560887663129E+01,  8.204072459241882E+00,
2442778.500000000, A.D. 1976-Jan-01 00:00:00.0000, -1.076742167429546E+08,  1.512410624145535E+06,  7.492437903341705E+06, -1.735106756248242E+00, -3.210154407526489E+01, -1.432921398992786E+01,
2443144.500000000, A.D. 1977-Jan-01 00:00:00.0000,  7.971956822785133E+07,  6.797158653728516E+07,  2.553861666754979E+07, -2.377895965532892E+01,  2.284166743165688E+01,  1.178021973852989E+01,
2443509.500000000, A.D. 1978-Jan-01 00:00:00.0000, -2.210081211895675E+06, -9.979409864065202E+07, -4.472242313296276E+07,  3.478800534303308E+01, -1.144276879870537E-01, -2.253332993401066E+00,
2443874.500000000, A.D. 1979-Jan-01 00:00:00.0000, -7.204191938126564E+07,  6.974393652836184E+07,  3.596909756015080E+07, -2.580689611011118E+01, -2.245887978258344E+01, -8.468433670822403E+00,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000,  1.095739100896866E+08, -2.635880937158875E+06, -8.083667335930584E+06,  1.636014218471964E+00,  3.180483063428261E+01,  1.420276103773528E+01,
