*******************************************************************************
Revised: Jul 31, 2013                  Earth                                399
 
PHYSICAL PROPERTIES (revised Sep 18, 2013):
 Mean radius, km          = 6371.01+-0.01   Mass, 10^24 kg = 5.97219+-0.0006
 Equ. radius, km          = 6378.14+-0.01   Mass layers:
 Polar axis, km           = 6356.752          Atmos          = 5.1   x 10^18 kg
 Flattening               = 1/298.257         oceans         = 1.4   x 10^21 kg
 Density, gm cm^-3        = 5.515             crust          = 2.6   x 10^22 kg
 J2  (GEM T2, 1990)       = 0.0010826265      mantle         = 4.043 x 10^24 kg
 gp, m s^-2 (polar)       = 9.8321863685      outer core     = 1.835 x 10^24 kg
 ge, m s^-2 (equatorial)  = 9.7803267715      inner core     = 9.675 x 10^22 kg
 go, m s^-2               = 9.82022         Fluid core rad   = 3480 km
 GM, km^3 s^-2            = 398600.440      Inner core rad   = 1215 km
 Mean rot. rate, rad s^-1 = 7.292115*10^-5  Surface Area:
 Sidereal period, hr      = 23.93419          land           = 1.48 x 10^8 km
 Mean solar day, days     = 1.002738          sea            = 3.62 x 10^8 km
 Moment of inertia        = 0.3308          Love no., k2     = 0.299
 Mean Temperature, K      = 270             Atm. pressure    = 1.0 bar
 Solar constant, W/m^2    = 1367.6          Vis. mag. V(1,0) = -3.86
 Volume, 10^10 km^3       = 108.321         Geometric albedo = 0.367 

DYNAMICAL CHARACTERISTICS:
 Obliquity to orbit, deg  = 23.45           Sidereal period  = 1.0000174  yrs
 Orbit velocity, km s^-1  = 29.7859         Sidereal period  = 365.25636  days
 Mean daily motion, n     = 0.9856474 deg/d Escape velocity  = 11.186 km s^-1
 Hill's sphere radius     = 234.9           Magnetic moment  = 0.61 gauss Rp^3
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Jan  8 18:54:21 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1970-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2440587.500000000, A.D. 1970-Jan-01 00:00:00.0000, -2.636314250687937E+07,  1.448755934863529E+08,  5.775629234984517E+02, -2.977359332571185E+01, -5.558856867535258E+00,  4.295648228174187E-04,
2440952.500000000, A.D. 1971-Jan-01 00:00:00.0000, -2.588341510653936E+07,  1.452393331995936E+08,  2.438135835126042E+03, -2.980754537473631E+01, -5.451966545975040E+00, -1.593541931332210E-03,
2441317.500000000, A.D. 1972-Jan-01 00:00:00.0000, -2.549011035437799E+07,  1.454629753027623E+08,  7.225632585324347E+03, -2.981530178047805E+01, -5.309111127243683E+00,  6.827873379950944E-04,
2441683.500000000, A.D. 1973-Jan-01 00:00:00.0000, -2.771302459890725E+07,  1.450550518113323E+08,  1.356035377027094E+04, -2.976587603123582E+01, -5.699303261247933E+00, -1.123036671633937E-03,
2442048.500000000, A.D. 1974-Jan-01 00:00:00.0000, -2.728425788474048E+07,  1.449444635093625E+08,  1.740495788987726E+04, -2.977496369006782E+01, -5.586981924151137E+00, -3.089743949615809E-04,
2442413.500000000, A.D. 1975-Jan-01 00:00:00.0000, -2.667769613244626E+07,  1.447178335390190E+08,  1.895216998989880E+04, -2.978468785411483E+01, -5.433036339514266E+00, -3.268800462907784E-05,
2442778.500000000, A.D. 1976-Jan-01 00:00:00.0000, -2.588325307445607E+07,  1.444852565308977E+08,  1.387108420117944E+04, -2.982340859258045E+01, -5.308225959257082E+00, -1.456084096124188E-03,
2443144.500000000, A.D. 1977-Jan-01 00:00:00.0000, -2.746389220102401E+07,  1.438867088067813E+08,  5.519895606942475E+03, -2.972619756094964E+01, -5.696784787681740E+00,  2.316413169713982E-04,
2443509.500000000, A.D. 1978-Jan-01 00:00:00.0000, -2.637123807921768E+07,  1.439826520621328E+08, -6.392007111087441E+03, -2.975767306830661E+01, -5.537506060244055E+00, -1.835738746519322E-03,
2443874.500000000, A.D. 1979-Jan-01 00:00:00.0000, -2.531049523065777E+07,  1.442897249412992E+08, -1.876230077951401E+04, -2.979625273403389E+01, -5.418793465140412E+00,  1.226932086191290E-04,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -2.436394452184461E+07,  1.447584791132984E+08, -2.764994581660628E+04, -2.980290252108022E+01, -5.273421376860107E+00, -1.016164021318433E-03,
2444605.500000000, A.D. 1981-Jan-01 00:00:00.0000, -2.618952635612575E+07,  1.448675915229293E+08, -3.415434226636589E+04, -2.975791856060700E+01, -5.649464233681488E+00, -4.686805096709712E-04,
