*******************************************************************************
 Revised: Nov 05, 2015             134340 Pluto                             999
 
 Fit to all available observations (PLU043/DE433) including New Horizons
 encounter tracking.

 ICRF/J2000.0 helio. ecliptic osc. elements (AU, DAYS, DEG, period=Julian yrs):

 EPOCH= 2457217.5 ! 2015-Jul-14 00:00:00.0000 (TDB)
  EC= 2.543193766760227E-01 QR= 2.963711277830007E+01 IN= 1.736672922693450E+01
  OM= 1.102097591127033E+02 W = 1.142276233642205E+02 Tp=  2447886.048708124086
  N = 3.933503338914713E-03 MA= 3.670529481351401E+01 TA= 5.935219029576444E+01
  A = 3.974504882021532E+01 AD= 4.985298486213057E+01 PR= 9.152146801007345E+04

 NOTE:
  The Horizons output log may report using DE431 as the source of target or
  center data, but it is nevertheless using DE433 as an override if Pluto is 
  involved. This is to maintain ephemeris consistency for the New Horizons 
  spacecraft encounter at Pluto.

 PHYSICAL DATA (updated 2013-Nov-19, Mc= Charon mass, radius is IAU 2009):
  Mass Pluto (10^22 kg) = 1.307+-0.018    Density Pluto:
  GM (planet) km^3/s^2  = 872.4             (R = 1195 km)       = 1.83 g/cm^3
  Mass ratio (Mc/Mp)    = 0.117           Radius of Pluto, Rp   = 1195 km
  Surface gravity       = 61.1 cm/s^2     Geometric albedo      = 0.3 
  Sidereal orbit period = 249.58932 yr    Mean orbit velocity   = 4.656 km/s
  Escape velocity (km/s)= 1.21
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Sun Jan  8 18:56:28 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pluto (999)                     {source: plu055l_merged}
Center body name: Solar System Barycenter (0)     {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1970-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2100-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2440587.500000000, A.D. 1970-Jan-01 00:00:00.0000, -4.550486867789526E+09,  3.178145346524982E+08,  1.282162911476330E+09,  6.322394300813360E-01, -5.753481965199990E+00,  4.410266100174614E-01,
2440952.500000000, A.D. 1971-Jan-01 00:00:00.0000, -4.527169125577670E+09,  1.365241436961839E+08,  1.294825582906652E+09,  8.232062427872080E-01, -5.745837205038079E+00,  3.981334145278377E-01,
2441317.500000000, A.D. 1972-Jan-01 00:00:00.0000, -4.498127347602517E+09, -4.493757734401125E+07,  1.305850952076313E+09,  1.021396481344401E+00, -5.736277951055659E+00,  3.364633484318700E-01,
2441683.500000000, A.D. 1973-Jan-01 00:00:00.0000, -4.463196392394693E+09, -2.268369565197870E+08,  1.315217722382805E+09,  1.208703774312801E+00, -5.749492624533908E+00,  2.477981393247128E-01,
2442048.500000000, A.D. 1974-Jan-01 00:00:00.0000, -4.422521708045490E+09, -4.079451376639409E+08,  1.322836497734231E+09,  1.379115013656444E+00, -5.751007847246058E+00,  1.955403311305721E-01,
2442413.500000000, A.D. 1975-Jan-01 00:00:00.0000, -4.375976290474701E+09, -5.885119921418277E+08,  1.328699397139811E+09,  1.553344164402215E+00, -5.732665701455074E+00,  1.564777739779570E-01,
2442778.500000000, A.D. 1976-Jan-01 00:00:00.0000, -4.323533268270235E+09, -7.682848707345059E+08,  1.332772561257296E+09,  1.740666689841291E+00, -5.692095446756321E+00,  1.173354455589026E-01,
2443144.500000000, A.D. 1977-Jan-01 00:00:00.0000, -4.265010080819649E+09, -9.474924540463073E+08,  1.335029244215307E+09,  1.957321824992076E+00, -5.628697583369304E+00,  5.042118949542296E-02,
2443509.500000000, A.D. 1978-Jan-01 00:00:00.0000, -4.200726559477314E+09, -1.124895682863610E+09,  1.335423642750784E+09,  2.149678947285350E+00, -5.589596177199615E+00, -2.834636320711148E-02,
2443874.500000000, A.D. 1979-Jan-01 00:00:00.0000, -4.130547901267779E+09, -1.300720813297687E+09,  1.333942286274792E+09,  2.327553841122254E+00, -5.551529340313179E+00, -9.906111353083036E-02,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -4.054504762965161E+09, -1.474699449645515E+09,  1.330566118645346E+09,  2.497218369443821E+00, -5.501792150632541E+00, -1.531022317328579E-01,
